Date,Open,High,Low,Close,Adj Close,Volume
2010-06-21,2.139580,2.145830,1.973330,2.007290,2.007290,27485424
2010-06-22,2.030420,2.074580,1.949580,1.959790,1.959790,22470432
2010-06-23,1.965630,1.987290,1.889580,1.933540,1.933540,28086960
2010-06-24,1.910420,1.927080,1.829170,1.839790,1.839790,30165216
2010-06-25,1.862500,1.884580,1.799380,1.838540,1.838540,22195824
2010-06-28,1.840000,1.867500,1.782500,1.822080,1.822080,20516880
2010-06-29,1.736460,1.739580,1.570830,1.618750,1.618750,54797232
2010-06-30,1.594580,1.640210,1.526040,1.538750,1.538750,22973424
2010-07-01,1.547290,1.560210,1.434610,1.523750,1.523750,31755168
2010-07-02,1.527710,1.545420,1.468750,1.515420,1.515420,18422256
2010-07-06,1.578540,1.602290,1.485000,1.523330,1.523330,19567872
2010-07-07,1.536460,1.671880,1.532710,1.667290,1.667290,20227392
2010-07-08,1.707290,1.713900,1.636670,1.695420,1.695420,25943040
2010-07-09,1.691040,1.750000,1.682080,1.742920,1.742920,17829216
2010-07-12,1.736250,1.788960,1.725830,1.762710,1.762710,12365328
2010-07-13,1.803960,1.846250,1.765000,1.822920,1.822920,21764832
2010-07-14,1.838540,1.883130,1.814790,1.852080,1.852080,13703856
2010-07-15,1.844380,1.874790,1.784320,1.858540,1.858540,14295264
2010-07-16,1.842290,1.844580,1.700830,1.708960,1.708960,22669488
2010-07-19,1.718750,1.758330,1.677290,1.747500,1.747500,15523536
2010-07-20,1.660830,1.810000,1.647500,1.802710,1.802710,15994752
2010-07-21,1.870830,1.870830,1.727920,1.739580,1.739580,21763488
2010-07-22,1.807500,1.892710,1.807500,1.856880,1.856880,15804864
2010-07-23,1.833130,1.907500,1.820630,1.905210,1.905210,17462208
2010-07-26,1.913540,1.952500,1.886880,1.947080,1.947080,11481936
2010-07-27,1.979170,1.984580,1.922290,1.946670,1.946670,14961600
2010-07-28,1.942710,1.967080,1.881250,1.906880,1.906880,9712032
2010-07-29,1.933330,1.945830,1.802500,1.861460,1.861460,19089840
2010-07-30,1.814170,1.905000,1.781400,1.874170,1.874170,16225872
2010-08-02,1.943540,1.989580,1.922080,1.975000,1.975000,11266752
2010-08-03,1.971250,1.977500,1.923750,1.954580,1.954580,8027232
2010-08-04,1.980210,2.016670,1.954580,2.011040,2.011040,10116192
2010-08-05,1.980830,2.006230,1.957080,1.999170,1.999170,8306400
2010-08-06,1.927290,1.998330,1.898540,1.989790,1.989790,19091616
2010-08-09,2.017080,2.041670,1.991250,2.024580,2.024580,10701552
2010-08-10,1.979170,2.009380,1.927500,1.981670,1.981670,19748352
2010-08-11,1.876460,1.877710,1.789790,1.818540,1.818540,19386960
2010-08-12,1.708330,1.792290,1.699380,1.767290,1.767290,18243504
2010-08-13,1.752710,1.772710,1.732080,1.732080,1.732080,7239072
2010-08-16,1.706250,1.776920,1.684380,1.741880,1.741880,11936304
2010-08-17,1.780830,1.854790,1.770420,1.808130,1.808130,15034416
2010-08-18,1.798960,1.861040,1.778330,1.824380,1.824380,8902896
2010-08-19,1.798540,1.817080,1.710420,1.757290,1.757290,12800784
2010-08-20,1.739580,1.764580,1.708540,1.751250,1.751250,11072352
2010-08-23,1.788330,1.801040,1.700420,1.702920,1.702920,13545024
2010-08-24,1.644380,1.659580,1.585420,1.605210,1.605210,18116880
2010-08-25,1.573750,1.673130,1.566250,1.653330,1.653330,18016080
2010-08-26,1.674580,1.677290,1.588540,1.599380,1.599380,16620096
2010-08-27,1.629580,1.659380,1.529170,1.652290,1.652290,24057600
2010-08-30,1.626880,1.670410,1.598330,1.598750,1.598750,13142016
2010-08-31,1.575000,1.624380,1.552290,1.590830,1.590830,19554576
2010-09-01,1.652080,1.740210,1.649790,1.724170,1.724170,16200864
2010-09-02,1.734790,1.783330,1.721670,1.783330,1.783330,6785280
2010-09-03,1.839580,1.874170,1.818540,1.874170,1.874170,16933680
2010-09-07,1.848960,1.871250,1.824650,1.828540,1.828540,12168288
2010-09-08,1.848960,1.923520,1.848960,1.893130,1.893130,14233968
2010-09-09,1.952080,1.955210,1.909170,1.917080,1.917080,11291664
2010-09-10,1.931040,1.948130,1.899580,1.937710,1.937710,7988496
2010-09-13,1.988330,2.037710,1.986460,2.023130,2.023130,10464384
2010-09-14,2.018750,2.080000,2.002920,2.048680,2.048680,10605120
2010-09-15,2.032500,2.093750,2.016040,2.083540,2.083540,8457552
2010-09-16,2.080630,2.116460,2.060210,2.112920,2.112920,11738688
2010-09-17,2.156040,2.156040,2.103130,2.135420,2.135420,14352000
2010-09-20,2.159170,2.258130,2.151880,2.246670,2.246670,13191744
2010-09-21,2.250000,2.291670,2.215830,2.239580,2.239580,21737760
2010-09-22,2.214580,2.272710,2.191570,2.228960,2.228960,12100512
2010-09-23,2.182710,2.289580,2.176670,2.222290,2.222290,17211936
2010-09-24,2.301670,2.362500,2.290630,2.348130,2.348130,15814080
2010-09-27,2.358960,2.371250,2.314840,2.321250,2.321250,12136992
2010-09-28,2.343130,2.343130,2.210000,2.327080,2.327080,18282624
2010-09-29,2.310210,2.340210,2.282290,2.308330,2.308330,7980528
2010-09-30,2.345420,2.384580,2.231880,2.277080,2.277080,22183536
2010-10-01,2.333130,2.339790,2.236460,2.270000,2.270000,14660208
2010-10-04,2.247290,2.270420,2.155830,2.191250,2.191250,15483312
2010-10-05,2.266040,2.365630,2.265210,2.354380,2.354380,13753248
2010-10-06,2.344580,2.359380,2.248130,2.273540,2.273540,9671952
2010-10-07,2.333330,2.335000,2.261150,2.316880,2.316880,9872208
2010-10-08,2.321040,2.380420,2.273750,2.363540,2.363540,8695104
2010-10-11,2.370210,2.401250,2.346880,2.368330,2.368330,4770192
2010-10-12,2.352710,2.430210,2.297290,2.417500,2.417500,12217392
2010-10-13,2.462080,2.506460,2.441250,2.476250,2.476250,12116640
2010-10-14,2.479170,2.493540,2.424790,2.462500,2.462500,9968208
2010-10-15,2.550630,2.619580,2.493750,2.619580,2.619580,14949840
2010-10-18,2.623750,2.646460,2.591460,2.619580,2.619580,10980288
2010-10-19,2.515830,2.575830,2.454790,2.515420,2.515420,15949344
2010-10-20,2.540000,2.624380,2.524170,2.567710,2.567710,11690688
2010-10-21,2.619580,2.647920,2.510630,2.585630,2.585630,13720320
2010-10-22,2.588750,2.641880,2.575210,2.636040,2.636040,7338912
2010-10-25,2.667710,2.721460,2.667710,2.676040,2.676040,9659184
2010-10-26,2.631460,2.710830,2.603130,2.692080,2.692080,9378240
2010-10-27,2.657710,2.726670,2.643130,2.719790,2.719790,14108448
2010-10-28,2.757500,2.758960,2.670630,2.735420,2.735420,13508976
2010-10-29,2.734790,2.766460,2.718750,2.722290,2.722290,10093152
2010-11-01,2.750000,2.805630,2.689580,2.728540,2.728540,10660176
2010-11-02,2.794170,2.834000,2.781250,2.811250,2.811250,8532768
2010-11-03,2.825420,2.852780,2.748130,2.851880,2.851880,14393280
2010-11-04,2.951250,2.987920,2.930600,2.952920,2.952920,13981728
2010-11-05,2.960000,2.974170,2.931250,2.956460,2.956460,14251824
2010-11-08,2.941460,2.979170,2.920210,2.963960,2.963960,12955920
2010-11-09,3.006040,3.016390,2.879790,2.916040,2.916040,15358272
2010-11-10,2.931460,2.971040,2.862740,2.960630,2.960630,11819136
2010-11-11,2.822920,2.921040,2.788750,2.910830,2.910830,15295776
2010-11-12,2.862710,2.896670,2.699460,2.762710,2.762710,27281712
2010-11-15,2.810000,2.821670,2.729790,2.733190,2.733190,14933904
2010-11-16,2.675420,2.721460,2.566040,2.597500,2.597500,22701408
2010-11-17,2.602080,2.661040,2.583330,2.622080,2.622080,13929456
2010-11-18,2.706460,2.798330,2.704380,2.743960,2.743960,17448480
2010-11-19,2.735000,2.770830,2.703750,2.750420,2.750420,11674992
2010-11-22,2.717920,2.822920,2.706460,2.822920,2.822920,18543120
2010-11-23,2.739380,2.747290,2.641670,2.689580,2.689580,23401632
2010-11-24,2.766040,2.868540,2.762630,2.846670,2.846670,16202832
2010-11-26,2.797080,2.850420,2.780630,2.828750,2.828750,7456320
2010-11-29,2.781250,2.812500,2.685830,2.789380,2.789380,22066752
2010-11-30,2.700830,2.735940,2.653130,2.683330,2.683330,25102272
2010-12-01,2.807710,2.896670,2.802080,2.853960,2.853960,25932432
2010-12-02,2.868750,2.953130,2.859380,2.940630,2.940630,16512768
2010-12-03,2.905210,2.974790,2.904170,2.965210,2.965210,21929424
2010-12-06,2.965830,2.977290,2.936040,2.960000,2.960000,12405696
2010-12-07,3.069380,3.069560,2.957500,2.962710,2.962710,20551392
2010-12-08,2.992080,3.011250,2.933960,3.003650,3.003650,11694480
2010-12-09,3.051040,3.054580,2.979170,3.006880,3.006880,12532848
2010-12-10,3.027500,3.075630,3.002710,3.070000,3.070000,11021328
2010-12-13,3.108540,3.108540,3.031250,3.033960,3.033960,10114992
2010-12-14,3.057920,3.088130,3.024380,3.046670,3.046670,9607968
2010-12-15,3.044170,3.100830,2.989580,3.015630,3.015630,11997216
2010-12-16,3.018750,3.094580,3.000000,3.078540,3.078540,10764480
2010-12-17,3.088330,3.114640,3.071460,3.087920,3.087920,7658448
2010-12-20,3.105210,3.129170,3.029170,3.096270,3.096270,15789264
2010-12-21,3.132080,3.148750,3.108130,3.147290,3.147290,4198368
2010-12-22,3.147710,3.163600,3.134480,3.150630,3.150630,5406816
2010-12-23,3.134170,3.146880,3.106250,3.126670,3.126670,4606224
2010-12-27,3.101460,3.145830,3.035420,3.127920,3.127920,8055504
2010-12-28,3.145420,3.153960,3.093130,3.114380,3.114380,7929792
2010-12-29,3.141880,3.150420,3.125000,3.132920,3.132920,5682912
2010-12-30,3.134170,3.135000,3.093750,3.109380,3.109380,3592176
2010-12-31,3.102500,3.102500,3.035210,3.080830,3.080830,6091152
2011-01-03,3.164380,3.283490,3.162290,3.220000,3.220000,16685376
2011-01-04,3.260000,3.261250,3.153540,3.215000,3.215000,16438032
2011-01-05,3.183130,3.296250,3.178960,3.294790,3.294790,15359712
2011-01-06,3.306460,3.332290,3.286040,3.324580,3.324580,13065696
2011-01-07,3.341460,3.347080,3.220600,3.316880,3.316880,19050768
2011-01-10,3.291670,3.371040,3.269790,3.354170,3.354170,10774464
2011-01-11,3.398960,3.402290,3.335210,3.369580,3.369580,13737888
2011-01-12,3.417710,3.440000,3.376880,3.437920,3.437920,16765872
2011-01-13,3.448130,3.469770,3.415630,3.448750,3.448750,16451088
2011-01-14,3.450630,3.524580,3.424580,3.523540,3.523540,7658976
2011-01-18,3.443130,3.562500,3.427710,3.551670,3.551670,17333472
2011-01-19,3.569790,3.569790,3.397080,3.432710,3.432710,18794256
2011-01-20,3.385000,3.400210,3.279170,3.355630,3.355630,23720592
2011-01-21,3.406670,3.425000,3.276670,3.278960,3.278960,13103424
2011-01-24,3.297290,3.417290,3.279810,3.414380,3.414380,10818768
2011-01-25,3.368330,3.430830,3.343750,3.426250,3.426250,12055248
2011-01-26,3.450630,3.511670,3.416460,3.479380,3.479380,12512208
2011-01-27,3.520210,3.576040,3.501040,3.546460,3.546460,13916544
2011-01-28,3.547710,3.554380,3.231880,3.278960,3.278960,31814784
2011-01-31,3.296250,3.352500,3.218750,3.327500,3.327500,19995456
2011-02-01,3.403540,3.535420,3.391250,3.512290,3.512290,25429488
2011-02-02,3.493750,3.532500,3.474390,3.496460,3.496460,11547792
2011-02-03,3.478540,3.528960,3.393130,3.510000,3.510000,16441104
2011-02-04,3.518960,3.579170,3.487080,3.573330,3.573330,16993248
2011-02-07,3.595630,3.681040,3.577920,3.625210,3.625210,12972912
2011-02-08,3.626460,3.702500,3.608330,3.702500,3.702500,16742592
2011-02-09,3.677920,3.710420,3.643960,3.680000,3.680000,16299360
2011-02-10,3.618750,3.705400,3.593750,3.697920,3.697920,17759808
2011-02-11,3.665830,3.776040,3.645830,3.773750,3.773750,11819232
2011-02-14,3.772920,3.815000,3.762920,3.797500,3.797500,7462080
2011-02-15,3.779790,3.796040,3.733750,3.787710,3.787710,11688336
2011-02-16,3.817500,3.888130,3.811880,3.857710,3.857710,17637696
2011-02-17,3.803330,3.875000,3.793750,3.854380,3.854380,10841232
2011-02-18,3.856670,3.872080,3.786880,3.832500,3.832500,16025376
2011-02-22,3.674380,3.708330,3.479170,3.495000,3.495000,30452064
2011-02-23,3.493960,3.531460,3.330420,3.408750,3.408750,24296784
2011-02-24,3.428130,3.491670,3.333330,3.457290,3.457290,20030688
2011-02-25,3.521670,3.620240,3.511670,3.605420,3.605420,13359360
2011-02-28,3.646670,3.682420,3.566250,3.631670,3.631670,13106832
2011-03-01,3.680420,3.680420,3.427080,3.457080,3.457080,15404472
2011-03-02,3.447500,3.577080,3.447500,3.505830,3.505830,14274408
2011-03-03,3.610830,3.734170,3.607500,3.715000,3.715000,16672848
2011-03-04,3.716670,3.716670,3.587560,3.660000,3.660000,13676952
2011-03-07,3.705830,3.712080,3.415830,3.514170,3.514170,17203536
2011-03-08,3.494170,3.601670,3.437500,3.550830,3.550830,16114536
2011-03-09,3.521670,3.526230,3.425420,3.479170,3.479170,12130848
2011-03-10,3.355830,3.385420,3.277920,3.320000,3.320000,21944376
2011-03-11,3.260000,3.403750,3.259580,3.375420,3.375420,12816168
2011-03-14,3.320420,3.395830,3.267120,3.342500,3.342500,10044456
2011-03-15,3.041670,3.260830,3.014580,3.205830,3.205830,23538696
2011-03-16,3.125830,3.174580,2.906250,2.970420,2.970420,27176400
2011-03-17,3.114170,3.145830,3.045000,3.047920,3.047920,14678664
2011-03-18,3.155830,3.155830,3.025000,3.031250,3.031250,14838504
2011-03-21,3.164170,3.250000,3.150830,3.200420,3.200420,11936064
2011-03-22,3.225000,3.225000,3.166670,3.191670,3.191670,8042808
2011-03-23,3.152920,3.268290,3.088330,3.239960,3.239960,13081608
2011-03-24,3.315830,3.436670,3.259170,3.416250,3.416250,16357872
2011-03-25,3.450420,3.508330,3.427080,3.441250,3.441250,18538680
2011-03-28,3.487920,3.488330,3.378750,3.382920,3.382920,11146896
2011-03-29,3.362500,3.480830,3.327500,3.480000,3.480000,8442912
2011-03-30,3.533330,3.544580,3.485830,3.531250,3.531250,8449344
2011-03-31,3.516670,3.555000,3.495830,3.546250,3.546250,7134264
2011-04-01,3.597080,3.631670,3.520830,3.551670,3.551670,9443496
2011-04-04,3.582080,3.590810,3.470420,3.519580,3.519580,7851888
2011-04-05,3.493330,3.550000,3.466520,3.479580,3.479580,6824352
2011-04-06,3.562920,3.597500,3.450830,3.505830,3.505830,8350944
2011-04-07,3.508330,3.572040,3.432710,3.505000,3.505000,9016080
2011-04-08,3.554580,3.565830,3.400420,3.452500,3.452500,6306576
2011-04-11,3.492500,3.516250,3.387080,3.421250,3.421250,7059096
2011-04-12,3.372920,3.398330,3.310420,3.353750,3.353750,8432016
2011-04-13,3.426250,3.462080,3.354000,3.433750,3.433750,8853744
2011-04-14,3.358330,3.430830,3.320830,3.415000,3.415000,8501688
2011-04-15,3.375000,3.437500,3.332500,3.392920,3.392920,18708264
2011-04-18,3.281250,3.329170,3.160000,3.327500,3.327500,15719016
2011-04-19,3.348330,3.387500,3.299170,3.387500,3.387500,13498344
2011-04-20,3.564580,3.626500,3.554170,3.612920,3.612920,16462320
2011-04-21,3.721670,3.727080,3.671250,3.704580,3.704580,8121024
2011-04-25,3.717920,3.737500,3.692500,3.732080,3.732080,5713248
2011-04-26,3.762500,3.833330,3.739580,3.796250,3.796250,5623008
2011-04-27,3.816670,3.884580,3.765000,3.875000,3.875000,7832424
2011-04-28,3.837080,3.870830,3.806150,3.869170,3.869170,8326152
2011-04-29,3.839170,3.878750,3.822920,3.850420,3.850420,6553080
2011-05-02,3.867080,3.891670,3.795560,3.829580,3.829580,6733632
2011-05-03,3.817500,3.828330,3.700360,3.772080,3.772080,6639480
2011-05-04,3.771670,3.803750,3.660830,3.750000,3.750000,10242504
2011-05-05,3.695000,3.824580,3.652920,3.693750,3.693750,11970168
2011-05-06,3.807920,3.866220,3.696250,3.725830,3.725830,9604392
2011-05-09,3.745420,3.812080,3.703750,3.766250,3.766250,5242608
2011-05-10,3.802920,3.879170,3.782920,3.862920,3.862920,6920736
2011-05-11,3.851250,3.888020,3.701670,3.779580,3.779580,8114112
2011-05-12,3.737080,3.862070,3.679580,3.846250,3.846250,7541088
2011-05-13,3.826250,3.838040,3.706250,3.709980,3.709980,9255072
2011-05-16,3.658330,3.690420,3.492500,3.517080,3.517080,9982944
2011-05-17,3.462920,3.547920,3.442940,3.545830,3.545830,11243064
2011-05-18,3.536250,3.652920,3.518330,3.632080,3.632080,5373360
2011-05-19,3.674170,3.687920,3.600830,3.663330,3.663330,6576672
2011-05-20,3.650830,3.665000,3.569270,3.582500,3.582500,5455608
2011-05-23,3.435420,3.464750,3.376170,3.427080,3.427080,9692040
2011-05-24,3.453330,3.453330,3.361670,3.362500,3.362500,8491536
2011-05-25,3.348750,3.447080,3.344170,3.400000,3.400000,6758424
2011-05-26,3.366670,3.492080,3.366670,3.463750,3.463750,5897568
2011-05-27,3.480830,3.525830,3.473330,3.515420,3.515420,4380480
